date,hour,france,italy,belgium,spain,uk,germany
2022/01/03,15:00 - 16:00,112.87,265.00,117.23,112.87,136.00,98.05
2022/01/03,16:00 - 17:00,126.80,270.00,128.57,126.80,137.00,123.51
2022/01/03,17:00 - 18:00,148.49,300.00,148.49,148.49,179.49,148.49
2022/01/03,18:00 - 19:00,175.06,300.00,162.12,175.06,251.91,138.00
2022/01/03,19:00 - 20:00,180.00,275.00,123.91,180.00,220.92,117.64
2022/01/03,20:00 - 21:00,146.43,221.16,120.70,153.77,184.08,117.71
2022/01/03,21:00 - 22:00,105.71,199.08,111.01,141.94,154.56,95.95
2022/01/03,22:00 - 23:00,114.11,170.00,119.97,114.11,149.44,105.68
2022/01/03,23:00 - 00:00,100.36,161.01,103.93,100.36,120.24,95.26
2022/01/04,00:00 - 01:00,125.47,150.55,129.18,125.47,129.70,103.70
2022/01/04,01:00 - 02:00,115.55,140.60,115.55,115.55,138.18,108.27
2022/01/04,02:00 - 03:00,113.29,113.29,116.86,113.29,143.00,105.92
2022/01/04,03:00 - 04:00,105.81,105.81,107.07,105.81,128.71,103.41
2022/01/04,04:00 - 05:00,105.00,105.00,106.21,105.00,112.30,102.71
2022/01/04,05:00 - 06:00,115.11,120.00,115.57,115.11,120.00,114.23
2022/01/04,06:00 - 07:00,156.91,156.91,156.91,153.77,129.96,156.91
2022/01/04,07:00 - 08:00,182.64,182.64,182.64,161.03,184.74,182.64
2022/01/04,08:00 - 09:00,178.91,200.00,178.91,178.91,277.00,178.91
2022/01/04,09:00 - 10:00,190.00,192.80,190.00,190.00,233.00,190.00
2022/01/04,10:00 - 11:00,189.88,189.88,189.88,189.88,201.78,189.88
2022/01/04,11:00 - 12:00,182.42,182.42,182.42,182.42,199.35,182.42
2022/01/04,12:00 - 13:00,182.46,182.46,182.46,182.46,197.00,182.46
2022/01/04,13:00 - 14:00,179.59,179.59,179.59,179.59,191.70,179.59
2022/01/04,14:00 - 15:00,179.00,179.00,179.00,163.20,182.41,179.00
2022/01/04,15:00 - 16:00,180.93,180.93,180.93,157.30,179.33,180.93
2022/01/04,16:00 - 17:00,166.69,192.27,166.69,157.30,179.00,166.69
2022/01/04,17:00 - 18:00,189.88,201.21,189.88,163.78,212.00,189.88
2022/01/04,18:00 - 19:00,184.94,197.19,184.94,184.94,248.00,184.94
2022/01/04,19:00 - 20:00,178.99,190.35,178.99,178.99,241.10,178.99
2022/01/04,20:00 - 21:00,156.12,170.84,156.12,156.12,221.00,156.12
2022/01/04,21:00 - 22:00,148.65,161.30,144.90,148.65,180.49,140.92
2022/01/04,22:00 - 23:00,137.92,156.80,137.92,137.92,180.00,137.92
2022/01/04,23:00 - 00:00,105.00,145.60,98.10,105.00,136.00,97.56
2022/01/05,00:00 - 01:00,120.11,142.60,114.37,120.11,197.17,105.31
2022/01/05,01:00 - 02:00,105.10,105.10,106.72,105.10,197.17,97.29
2022/01/05,02:00 - 03:00,84.50,84.50,84.50,84.50,195.00,84.50
2022/01/05,03:00 - 04:00,75.38,75.38,75.38,75.38,173.00,75.38
2022/01/05,04:00 - 05:00,79.11,79.11,79.11,79.11,172.00,79.11
2022/01/05,05:00 - 06:00,94.79,94.79,94.79,94.79,187.59,94.79
2022/01/05,06:00 - 07:00,169.04,181.41,90.21,169.04,195.00,99.16
2022/01/05,07:00 - 08:00,215.98,215.98,139.00,206.07,241.41,101.15
2022/01/05,08:00 - 09:00,211.13,218.95,181.61,211.13,231.00,129.56
2022/01/05,09:00 - 10:00,226.52,226.52,168.02,213.86,235.00,113.37
2022/01/05,10:00 - 11:00,224.45,224.45,157.55,209.10,255.47,94.43
2022/01/05,11:00 - 12:00,202.80,217.92,161.72,202.80,235.87,98.10
2022/01/05,12:00 - 13:00,205.00,205.00,140.00,199.89,235.26,95.68
2022/01/05,13:00 - 14:00,197.34,214.90,144.03,197.34,235.26,96.80
2022/01/05,14:00 - 15:00,195.60,217.92,170.59,195.60,244.00,107.32
2022/01/05,15:00 - 16:00,200.00,226.52,206.51,200.00,246.00,119.48
2022/01/05,16:00 - 17:00,206.07,226.52,217.07,206.07,260.26,137.28
2022/01/05,17:00 - 18:00,242.10,265.00,240.55,211.23,288.82,148.09
2022/01/05,18:00 - 19:00,265.00,265.00,240.00,225.00,350.00,139.88
2022/01/05,19:00 - 20:00,265.00,265.00,220.00,250.34,323.70,135.75
2022/01/05,20:00 - 21:00,241.93,241.93,200.10,241.93,311.87,119.93
2022/01/05,21:00 - 22:00,218.95,218.95,151.97,218.95,225.00,98.09
2022/01/05,22:00 - 23:00,207.46,207.46,182.35,207.46,209.00,118.71
2022/01/05,23:00 - 00:00,200.00,200.00,171.80,200.00,195.00,99.68
2022/01/06,00:00 - 01:00,207.15,207.15,191.54,207.15,229.44,99.85
2022/01/06,01:00 - 02:00,204.22,195.00,190.00,204.22,221.89,101.32
2022/01/06,02:00 - 03:00,191.82,189.44,191.34,191.82,187.60,110.01
2022/01/06,03:00 - 04:00,180.70,180.70,176.57,180.70,138.60,111.55
2022/01/06,04:00 - 05:00,170.10,170.10,187.30,170.10,89.00,123.37
2022/01/06,05:00 - 06:00,194.38,194.38,193.90,194.38,80.00,149.94
2022/01/06,06:00 - 07:00,204.22,204.22,220.09,204.22,78.36,185.92
2022/01/06,07:00 - 08:00,228.25,228.25,228.25,216.14,99.00,228.25
2022/01/06,08:00 - 09:00,240.98,236.23,252.43,219.42,173.31,228.92
2022/01/06,09:00 - 10:00,257.44,247.10,300.00,220.00,223.71,212.90
2022/01/06,10:00 - 11:00,245.24,245.24,273.64,214.90,227.00,215.50
2022/01/06,11:00 - 12:00,231.90,231.90,231.90,207.90,222.03,231.90
2022/01/06,12:00 - 13:00,226.00,226.00,226.00,205.00,223.71,226.00
2022/01/06,13:00 - 14:00,209.20,220.00,209.20,204.43,223.71,209.20
2022/01/06,14:00 - 15:00,216.06,216.06,216.06,196.84,223.71,216.06
2022/01/06,15:00 - 16:00,230.77,230.77,230.77,189.89,228.53,230.77
2022/01/06,16:00 - 17:00,245.95,245.95,245.95,202.17,228.53,245.95
2022/01/06,17:00 - 18:00,274.11,274.11,274.11,222.31,251.36,274.11
2022/01/06,18:00 - 19:00,273.44,273.44,273.44,273.44,263.00,273.44
2022/01/06,19:00 - 20:00,278.36,278.36,230.00,278.36,257.29,245.48
2022/01/06,20:00 - 21:00,251.71,251.71,215.43,251.71,243.70,226.14
2022/01/06,21:00 - 22:00,229.96,229.96,192.62,229.96,228.53,208.31
2022/01/06,22:00 - 23:00,216.44,227.46,163.05,216.44,214.40,178.75
2022/01/06,23:00 - 00:00,210.00,212.02,87.94,210.00,193.88,124.70
2022/01/07,00:00 - 01:00,213.47,213.47,83.81,213.47,189.43,128.92
2022/01/07,01:00 - 02:00,189.00,208.63,87.77,189.00,172.24,118.40
2022/01/07,02:00 - 03:00,180.00,204.35,72.38,180.00,155.00,103.01
2022/01/07,03:00 - 04:00,164.90,203.91,76.79,164.90,147.65,101.91
2022/01/07,04:00 - 05:00,162.80,202.54,77.70,162.80,140.20,101.98
2022/01/07,05:00 - 06:00,165.00,205.17,95.23,165.00,149.95,114.99
2022/01/07,06:00 - 07:00,165.20,229.22,141.80,165.20,162.04,140.19
2022/01/07,07:00 - 08:00,215.89,240.00,164.21,215.89,206.99,152.64
2022/01/07,08:00 - 09:00,254.19,254.19,214.76,243.84,216.58,160.97
2022/01/07,09:00 - 10:00,257.24,257.24,243.88,250.01,246.16,161.85
2022/01/07,10:00 - 11:00,254.18,254.18,203.35,240.00,254.43,161.37
2022/01/07,11:00 - 12:00,241.22,241.22,215.69,232.53,244.53,166.06
2022/01/07,12:00 - 13:00,240.20,240.20,181.10,216.28,246.56,166.54
2022/01/07,13:00 - 14:00,212.69,229.53,220.94,211.94,253.53,166.04
2022/01/07,14:00 - 15:00,207.05,233.49,218.13,207.05,229.54,169.43
2022/01/07,15:00 - 16:00,210.11,237.08,216.39,210.11,224.69,189.70
2022/01/07,16:00 - 17:00,220.21,239.00,232.33,220.21,243.71,201.97
2022/01/07,17:00 - 18:00,243.84,266.86,244.33,243.84,264.77,243.11
2022/01/07,18:00 - 19:00,260.00,270.00,265.24,260.00,310.88,253.81
2022/01/07,19:00 - 20:00,250.00,257.20,257.69,250.00,305.00,237.05
2022/01/07,20:00 - 21:00,239.09,244.41,250.32,243.84,295.01,224.33
2022/01/07,21:00 - 22:00,213.81,236.04,213.81,243.84,249.00,213.81
2022/01/07,22:00 - 23:00,216.13,229.00,235.59,235.69,216.00,185.94
2022/01/07,23:00 - 00:00,205.74,207.49,230.00,215.10,193.60,148.32
2022/01/08,00:00 - 01:00,184.96,218.33,198.65,270.02,249.18,164.17
2022/01/08,01:00 - 02:00,162.79,211.23,169.75,237.86,202.18,152.83
2022/01/08,02:00 - 03:00,166.00,201.90,166.00,215.89,154.48,166.00
2022/01/08,03:00 - 04:00,161.63,201.00,162.13,211.44,120.04,160.86
2022/01/08,04:00 - 05:00,160.00,201.00,160.00,200.90,85.00,160.00
2022/01/08,05:00 - 06:00,154.30,201.00,154.30,200.00,84.74,154.30
2022/01/08,06:00 - 07:00,166.00,215.43,166.00,201.36,84.74,166.00
2022/01/08,07:00 - 08:00,182.91,228.77,182.91,209.09,101.83,182.91
2022/01/08,08:00 - 09:00,215.89,238.11,215.89,215.89,164.61,215.89
2022/01/08,09:00 - 10:00,231.00,239.00,231.00,231.00,190.00,231.00
2022/01/08,10:00 - 11:00,228.95,242.93,228.95,228.95,205.00,228.95
2022/01/08,11:00 - 12:00,215.39,231.02,215.39,215.39,214.83,215.39
2022/01/08,12:00 - 13:00,206.68,223.33,206.68,206.68,220.00,206.68
2022/01/08,13:00 - 14:00,185.00,215.72,185.00,185.00,237.00,185.00
2022/01/08,14:00 - 15:00,169.52,215.49,169.52,169.52,211.14,169.52
2022/01/08,15:00 - 16:00,162.80,230.00,162.80,162.80,199.00,162.80
2022/01/08,16:00 - 17:00,161.73,242.67,161.82,161.73,192.87,161.34
2022/01/08,17:00 - 18:00,189.90,290.00,189.90,189.90,227.53,189.90
2022/01/08,18:00 - 19:00,189.16,300.00,198.45,206.68,283.44,170.71
2022/01/08,19:00 - 20:00,185.53,294.96,211.52,210.00,265.00,140.23
2022/01/08,20:00 - 21:00,159.47,283.00,127.97,210.00,221.00,102.54
2022/01/08,21:00 - 22:00,126.09,241.77,126.09,209.37,197.00,102.18
2022/01/08,22:00 - 23:00,123.73,233.56,123.94,185.30,192.87,102.29
2022/01/08,23:00 - 00:00,147.94,227.00,94.02,147.94,153.73,90.05
2022/01/09,00:00 - 01:00,109.18,215.00,104.62,109.18,185.00,85.03
2022/01/09,01:00 - 02:00,89.61,204.01,89.43,89.61,161.82,84.40
2022/01/09,02:00 - 03:00,80.24,197.61,80.24,80.24,134.63,80.24
2022/01/09,03:00 - 04:00,55.46,191.00,55.46,55.46,103.89,55.46
2022/01/09,04:00 - 05:00,45.82,182.00,45.82,45.82,85.00,49.29
2022/01/09,05:00 - 06:00,48.50,172.00,48.50,48.50,80.01,50.64
2022/01/09,06:00 - 07:00,74.29,176.33,74.29,74.29,85.00,74.29
2022/01/09,07:00 - 08:00,89.78,187.66,83.17,89.78,106.00,84.44
2022/01/09,08:00 - 09:00,104.79,190.66,97.26,104.79,94.69,97.26
2022/01/09,09:00 - 10:00,147.36,194.36,126.94,140.00,154.98,119.97
2022/01/09,10:00 - 11:00,149.48,215.00,135.57,140.00,166.82,134.96
2022/01/09,11:00 - 12:00,157.71,218.90,146.26,120.00,172.50,149.40
2022/01/09,12:00 - 13:00,167.63,218.34,165.65,69.77,185.10,165.13
2022/01/09,13:00 - 14:00,165.06,210.47,165.06,69.77,208.53,165.06
2022/01/09,14:00 - 15:00,170.09,213.06,170.09,57.96,210.40,170.09
2022/01/09,15:00 - 16:00,189.04,223.35,189.04,14.00,210.00,189.04
2022/01/09,16:00 - 17:00,190.96,225.55,190.96,92.52,195.08,190.96
2022/01/09,17:00 - 18:00,223.30,257.35,223.30,159.90,288.00,223.30
2022/01/09,18:00 - 19:00,243.94,269.60,243.94,207.90,343.00,243.94
2022/01/09,19:00 - 20:00,240.00,269.36,240.00,240.00,298.00,240.00
2022/01/09,20:00 - 21:00,230.82,242.08,230.82,230.82,249.89,230.82
2022/01/09,21:00 - 22:00,214.02,222.80,214.02,214.02,239.00,214.02
2022/01/09,22:00 - 23:00,215.88,218.34,215.88,215.88,211.00,215.88
2022/01/09,23:00 - 00:00,203.80,203.80,203.80,191.64,211.95,203.80
2022/01/10,00:00 - 01:00,196.23,196.23,196.23,196.23,213.00,196.23
2022/01/10,01:00 - 02:00,191.85,191.85,191.85,165.00,201.37,191.85
2022/01/10,02:00 - 03:00,195.91,195.91,195.91,158.70,185.55,195.91
2022/01/10,03:00 - 04:00,186.66,186.66,186.66,159.30,175.09,186.66
2022/01/10,04:00 - 05:00,178.04,178.04,178.04,160.10,170.00,178.04
2022/01/10,05:00 - 06:00,191.65,192.15,191.65,173.01,182.32,191.65
2022/01/10,06:00 - 07:00,237.44,237.44,237.44,200.10,199.00,237.44
2022/01/10,07:00 - 08:00,299.95,299.95,299.95,228.46,226.00,299.95
2022/01/10,08:00 - 09:00,313.92,313.92,313.92,234.74,241.00,313.92
2022/01/10,09:00 - 10:00,315.00,315.00,315.00,240.00,260.00,315.00
2022/01/10,10:00 - 11:00,310.41,310.41,310.41,238.76,240.00,310.41
2022/01/10,11:00 - 12:00,310.08,310.08,310.08,228.38,240.14,310.08
2022/01/10,12:00 - 13:00,300.00,300.00,300.00,222.53,243.97,300.00
2022/01/10,13:00 - 14:00,297.01,297.01,297.01,216.01,233.12,297.01
2022/01/10,14:00 - 15:00,299.96,299.96,299.96,206.01,235.00,299.96
2022/01/10,15:00 - 16:00,302.73,305.26,300.78,200.99,225.00,306.45
2022/01/10,16:00 - 17:00,297.97,297.97,299.63,223.00,230.00,302.73
2022/01/10,17:00 - 18:00,313.79,313.79,313.20,256.01,280.01,315.47
2022/01/10,18:00 - 19:00,310.82,310.82,310.82,286.40,313.70,310.82
2022/01/10,19:00 - 20:00,294.98,294.98,294.98,294.98,299.00,294.98
2022/01/10,20:00 - 21:00,267.45,267.45,267.45,267.45,275.00,267.45
2022/01/10,21:00 - 22:00,242.23,242.23,242.40,242.23,240.99,242.29
2022/01/10,22:00 - 23:00,217.03,217.03,217.03,217.03,223.83,217.03
2022/01/10,23:00 - 00:00,198.93,198.93,197.57,198.93,205.00,195.83
2022/01/11,00:00 - 01:00,210.34,210.34,210.34,210.34,221.32,210.34
2022/01/11,01:00 - 02:00,202.42,202.42,202.42,202.42,215.00,202.42
2022/01/11,02:00 - 03:00,197.60,197.60,197.60,197.60,210.00,197.60
2022/01/11,03:00 - 04:00,193.00,193.00,193.00,193.00,208.23,193.00
2022/01/11,04:00 - 05:00,194.90,194.90,194.90,194.90,208.00,194.90
2022/01/11,05:00 - 06:00,204.45,204.45,204.45,204.45,208.23,204.45
2022/01/11,06:00 - 07:00,230.92,230.92,225.25,219.32,219.37,237.13
2022/01/11,07:00 - 08:00,286.61,286.61,275.35,228.38,213.74,298.68
2022/01/11,08:00 - 09:00,300.02,300.02,281.20,249.97,231.26,302.02
2022/01/11,09:00 - 10:00,297.16,297.16,297.16,249.97,268.00,297.16
2022/01/11,10:00 - 11:00,277.02,277.02,277.02,242.47,271.81,277.02
2022/01/11,11:00 - 12:00,261.69,261.69,257.27,212.20,265.00,266.43
2022/01/11,12:00 - 13:00,249.44,248.64,244.30,207.10,260.00,254.92
2022/01/11,13:00 - 14:00,247.70,247.70,246.58,207.00,259.35,248.89
2022/01/11,14:00 - 15:00,255.01,255.01,255.01,206.80,255.00,255.01
2022/01/11,15:00 - 16:00,277.90,277.90,277.90,206.80,260.00,277.90
2022/01/11,16:00 - 17:00,289.94,289.94,289.94,212.00,265.00,289.94
2022/01/11,17:00 - 18:00,316.40,316.40,316.40,242.47,307.07,316.40
2022/01/11,18:00 - 19:00,315.90,315.90,315.90,260.00,332.02,315.90
2022/01/11,19:00 - 20:00,309.20,309.20,309.20,261.97,316.00,309.20
2022/01/11,20:00 - 21:00,285.33,285.33,285.33,262.66,271.14,285.33
2022/01/11,21:00 - 22:00,245.00,245.00,244.75,245.00,231.26,245.44
2022/01/11,22:00 - 23:00,235.22,235.22,234.09,227.47,219.96,237.27
2022/01/11,23:00 - 00:00,211.84,211.84,211.69,211.63,203.02,212.49
2022/01/12,00:00 - 01:00,196.65,196.65,196.65,196.65,196.74,196.65
2022/01/12,01:00 - 02:00,187.10,187.10,187.10,187.10,191.94,187.10
2022/01/12,02:00 - 03:00,184.27,184.27,184.27,184.27,188.00,184.27
2022/01/12,03:00 - 04:00,179.58,179.58,179.58,179.58,182.00,179.58
2022/01/12,04:00 - 05:00,178.33,178.33,178.33,178.33,180.28,178.33
2022/01/12,05:00 - 06:00,193.50,193.50,193.50,190.14,186.00,193.50
2022/01/12,06:00 - 07:00,236.76,236.76,234.68,185.22,184.70,240.56
2022/01/12,07:00 - 08:00,273.18,273.18,273.18,200.22,210.00,273.18
2022/01/12,08:00 - 09:00,300.10,300.10,300.10,217.15,213.95,300.10
2022/01/12,09:00 - 10:00,292.74,292.74,292.74,205.41,250.00,292.74
2022/01/12,10:00 - 11:00,275.50,275.50,275.50,199.70,252.00,275.50
2022/01/12,11:00 - 12:00,258.65,258.65,258.65,196.66,236.63,258.65
2022/01/12,12:00 - 13:00,245.11,245.11,245.11,196.95,217.69,245.11
2022/01/12,13:00 - 14:00,232.08,232.08,232.08,197.42,214.23,232.08
2022/01/12,14:00 - 15:00,234.77,234.77,234.77,197.42,214.23,234.77
2022/01/12,15:00 - 16:00,240.01,240.01,240.01,199.60,230.83,240.01
2022/01/12,16:00 - 17:00,255.00,255.00,255.00,200.20,244.74,255.00
2022/01/12,17:00 - 18:00,284.82,284.82,284.82,227.49,283.32,284.82
2022/01/12,18:00 - 19:00,285.97,285.97,285.97,255.00,300.00,285.97
2022/01/12,19:00 - 20:00,269.03,269.03,269.03,261.38,274.74,269.03
2022/01/12,20:00 - 21:00,253.10,246.90,247.80,253.10,251.41,235.25
2022/01/12,21:00 - 22:00,222.79,222.79,213.72,222.79,214.23,191.50
2022/01/12,22:00 - 23:00,213.64,213.64,225.00,213.64,210.00,193.69
2022/01/12,23:00 - 00:00,200.22,200.22,192.36,200.22,185.04,172.18
2022/01/13,00:00 - 01:00,190.00,192.24,200.00,190.00,191.67,173.14
2022/01/13,01:00 - 02:00,188.72,188.72,188.90,188.72,188.00,161.69
2022/01/13,02:00 - 03:00,187.87,187.87,192.60,187.87,184.22,153.58
2022/01/13,03:00 - 04:00,182.88,186.57,200.90,182.88,180.00,147.07
2022/01/13,04:00 - 05:00,186.65,188.00,179.00,186.65,179.00,152.47
2022/01/13,05:00 - 06:00,187.42,198.24,187.06,187.42,182.00,171.26
2022/01/13,06:00 - 07:00,195.09,212.18,194.14,192.93,186.90,192.03
2022/01/13,07:00 - 08:00,236.26,236.26,227.80,220.14,197.21,215.24
2022/01/13,08:00 - 09:00,243.53,252.39,231.99,226.75,211.62,235.90
2022/01/13,09:00 - 10:00,257.58,257.58,243.09,226.75,224.16,219.99
2022/01/13,10:00 - 11:00,254.17,254.17,228.26,220.25,227.67,180.08
2022/01/13,11:00 - 12:00,230.00,230.00,209.23,216.35,227.67,170.16
2022/01/13,12:00 - 13:00,223.12,223.12,198.76,213.93,220.79,152.53
2022/01/13,13:00 - 14:00,214.00,214.00,200.00,213.93,220.79,134.13
2022/01/13,14:00 - 15:00,214.88,214.88,203.10,213.75,221.00,171.01
2022/01/13,15:00 - 16:00,221.65,221.65,226.89,213.89,226.00,201.59
2022/01/13,16:00 - 17:00,243.44,243.44,253.50,220.14,233.83,205.38
2022/01/13,17:00 - 18:00,266.30,266.30,267.30,229.57,267.19,220.30
2022/01/13,18:00 - 19:00,274.00,274.00,267.30,259.45,293.28,212.76
2022/01/13,19:00 - 20:00,262.95,262.95,250.00,262.95,282.12,210.00
2022/01/13,20:00 - 21:00,252.46,246.27,235.19,252.46,265.20,192.69
2022/01/13,21:00 - 22:00,230.10,230.10,211.58,230.10,224.00,164.46
2022/01/13,22:00 - 23:00,217.65,217.03,211.70,217.65,205.79,164.20
2022/01/13,23:00 - 00:00,207.99,207.99,190.20,207.99,188.06,122.09
2022/01/14,00:00 - 01:00,205.00,205.00,178.70,205.00,175.17,120.04
2022/01/14,01:00 - 02:00,199.96,199.96,168.75,199.96,175.17,110.03
2022/01/14,02:00 - 03:00,196.42,196.42,178.09,196.42,175.17,108.24
2022/01/14,03:00 - 04:00,192.77,192.77,163.33,192.77,172.90,107.46
2022/01/14,04:00 - 05:00,192.43,192.43,162.61,192.43,172.47,109.82
2022/01/14,05:00 - 06:00,197.60,197.60,168.19,197.60,172.72,140.52
2022/01/14,06:00 - 07:00,218.90,218.90,184.70,206.26,176.11,176.04
2022/01/14,07:00 - 08:00,259.24,259.24,239.38,205.20,192.72,190.97
2022/01/14,08:00 - 09:00,284.66,284.66,286.60,209.07,207.60,216.99
2022/01/14,09:00 - 10:00,292.50,292.50,274.72,207.80,219.96,196.91
2022/01/14,10:00 - 11:00,274.10,274.10,243.39,199.99,219.96,162.92
2022/01/14,11:00 - 12:00,256.54,256.54,229.81,182.52,224.17,160.04
2022/01/14,12:00 - 13:00,243.74,226.80,219.36,180.30,220.44,154.01
2022/01/14,13:00 - 14:00,217.97,216.68,200.04,180.66,222.00,152.29
2022/01/14,14:00 - 15:00,213.01,213.01,205.21,180.30,231.00,186.94
2022/01/14,15:00 - 16:00,220.00,220.00,219.15,182.52,228.80,217.18
2022/01/14,16:00 - 17:00,238.05,238.05,247.08,200.34,240.00,224.91
2022/01/14,17:00 - 18:00,262.00,262.00,262.00,209.07,266.14,262.00
2022/01/14,18:00 - 19:00,280.67,280.67,274.44,225.61,322.00,260.04
2022/01/14,19:00 - 20:00,269.00,269.00,255.90,233.65,300.00,234.32
2022/01/14,20:00 - 21:00,243.07,243.07,218.82,235.01,250.00,215.04
2022/01/14,21:00 - 22:00,225.61,225.61,219.16,225.61,213.50,204.39
2022/01/14,22:00 - 23:00,216.68,216.68,195.95,216.68,187.90,194.29
2022/01/14,23:00 - 00:00,205.96,205.00,186.00,205.96,187.25,184.90
2022/01/15,00:00 - 01:00,222.01,222.01,222.01,222.01,224.19,222.01
2022/01/15,01:00 - 02:00,214.92,214.92,211.10,214.92,214.60,205.08
2022/01/15,02:00 - 03:00,209.61,209.61,202.58,209.61,209.80,194.62
